1-1,1-2,1-3,1-4,2-1,2-2,2-3,2-4,3-1,3-2,3-3,3-4,4-1,4-2,4-3,4-4,action,reward,next 1-1,next 1-2,next 1-3,next 1-4,next 2-1,next 2-2,next 2-3,next 2-4,next 3-1,next 3-2,next 3-3,next 3-4,next 4-1,next 4-2,next 4-3,next 4-4,done
2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4.000000,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8.000000,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.000000,8,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
8,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0.000000,8,2,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0
8,2,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,0.000000,0,0,0,0,8,0,0,0,2,0,4,0,4,2,0,0,0
0,0,0,0,8,0,0,0,2,0,4,0,4,2,0,0,0,0.000000,8,2,4,0,2,0,0,0,4,0,0,0,0,2,0,0,0
8,2,4,0,2,0,0,0,4,0,0,0,0,2,0,0,0,4.000000,8,4,4,0,2,0,0,0,4,0,2,0,0,0,0,0,0
8,4,4,0,2,0,0,0,4,0,2,0,0,0,0,0,3,8.000000,8,8,0,2,2,0,0,0,4,2,0,0,0,0,0,0,0
8,8,0,2,2,0,0,0,4,2,0,0,0,0,0,0,0,0.000000,8,8,0,2,2,2,4,0,4,0,0,0,0,0,0,0,0
8,8,0,2,2,2,4,0,4,0,0,0,0,0,0,0,3,20.000000,16,2,0,0,4,4,0,0,4,0,0,0,0,0,2,0,0
16,2,0,0,4,4,0,0,4,0,0,0,0,0,2,0,3,8.000000,16,2,0,0,8,0,0,0,4,0,0,2,2,0,0,0,0
16,2,0,0,8,0,0,0,4,0,0,2,2,0,0,0,0,0.000000,16,2,0,2,8,0,0,0,4,0,0,0,2,0,2,0,0
16,2,0,2,8,0,0,0,4,0,0,0,2,0,2,0,3,8.000000,16,4,0,0,8,0,2,0,4,0,0,0,4,0,0,0,0
16,4,0,0,8,0,2,0,4,0,0,0,4,0,0,0,0,8.000000,16,4,2,0,8,0,0,0,8,0,0,0,4,0,0,0,0
16,4,2,0,8,0,0,0,8,0,0,0,4,0,0,0,0,16.000000,16,4,2,0,16,0,0,0,4,0,0,0,0,2,0,0,0
16,4,2,0,16,0,0,0,4,0,0,0,0,2,0,0,0,32.000000,32,4,2,0,4,2,0,0,0,0,0,0,0,0,2,0,0
32,4,2,0,4,2,0,0,0,0,0,0,0,0,2,0,0,4.000000,32,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0
32,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,3,8.000000,32,8,4,0,4,2,0,0,0,0,0,0,0,2,0,0,0
